,Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
559,19,Male,Iceland,Undergraduate,Instagram,Entertainment,4.6,156,3.4,1.9,5.9,High,6.0
560,20,Female,Finland,Undergraduate,TikTok,Entertainment,5.4,194,2.0,2.0,5.7,High,5.0
561,22,Male,Poland,Undergraduate,Facebook,Networking,3.1,132,4.7,2.5,7.1,Medium,7.0
562,19,Female,Romania,Undergraduate,Instagram,Entertainment,5.6,194,2.3,1.7,5.6,High,5.0
563,21,Female,Croatia,Undergraduate,Instagram,Entertainment,4.8,154,3.0,1.4,5.8,Medium,6.0
564,20,Male,Serbia,Undergraduate,YouTube,Education,3.9,138,2.4,2.2,6.5,High,7.0
565,19,Female,Slovenia,Undergraduate,TikTok,Entertainment,5.7,196,1.6,1.9,5.4,High,5.0
566,21,Female,Lithuania,Undergraduate,Facebook,Networking,3.2,120,4.7,1.9,6.8,Low,7.0
567,19,Male,Ukraine,Undergraduate,TikTok,Entertainment,4.9,162,4.1,1.2,5.7,High,6.0
568,21,Female,Kazakhstan,Undergraduate,Snapchat,Entertainment,4.6,156,3.3,2.1,5.8,High,6.0
569,19,Male,Uzbekistan,Undergraduate,TikTok,Entertainment,5.5,168,2.5,2.6,5.4,High,5.0
570,22,Female,Kyrgyzstan,Undergraduate,Facebook,Networking,2.9,116,6.5,2.2,7.0,Medium,7.0
571,20,Male,Tajikistan,Undergraduate,YouTube,Education,4.7,151,1.4,3.3,5.9,High,6.0
572,18,Female,Armenia,High School,Instagram,Entertainment,5.9,192,1.0,1.4,5.2,Very High,5.0
573,21,Male,Georgia,Undergraduate,LinkedIn,Education,3.0,135,4.6,2.4,7.1,Low,8.0
574,22,Female,Malta,Undergraduate,LinkedIn,Education,2.7,131,5.7,2.7,7.2,Medium,8.0
575,20,Male,Vatican City,Undergraduate,YouTube,Education,4.4,170,4.4,1.4,6.0,Medium,6.0
576,22,Male,Montenegro,Undergraduate,Facebook,Networking,2.9,107,4.7,2.2,7.0,Medium,7.0
577,19,Female,Albania,Undergraduate,TikTok,Entertainment,4.7,147,3.9,1.5,5.8,High,6.0
578,20,Female,Kosovo,Undergraduate,Instagram,Entertainment,5.5,173,2.5,3.0,5.4,High,5.0
579,23,Male,Bosnia,Graduate,LinkedIn,Education,2.4,117,6.8,2.3,7.4,Low,8.0
580,22,Female,Bahrain,Undergraduate,LinkedIn,Education,2.8,112,4.3,2.3,7.1,Medium,8.0
581,19,Male,Lebanon,Undergraduate,YouTube,Education,5.8,172,1.0,1.9,5.2,Very High,5.0
582,23,Female,Iraq,Graduate,LinkedIn,Education,2.5,100,4.7,2.1,7.3,Medium,8.0
583,20,Male,Yemen,Undergraduate,Facebook,Networking,4.7,160,2.6,2.0,5.8,Very High,6.0
584,22,Male,Afghanistan,Undergraduate,LinkedIn,Education,2.9,115,6.5,2.0,7.0,Medium,7.0
585,23,Male,Sri Lanka,Graduate,LinkedIn,Education,2.6,107,3.9,2.7,7.2,Low,8.0
586,19,Female,Maldives,Undergraduate,Instagram,Entertainment,4.9,183,3.0,2.3,5.8,High,6.0
587,20,Male,Bangladesh,Undergraduate,Instagram,Entertainment,6.1,194,1.1,1.5,6.2,High,5.0
588,19,Male,Nepal,Undergraduate,Facebook,Networking,4.9,149,1.8,0.9,7.1,High,7.0
589,19,Female,Maldives,Undergraduate,Instagram,Entertainment,4.8,158,3.5,2.1,7.2,Medium,8.0
590,22,Male,Nepal,Undergraduate,TikTok,Entertainment,4.7,144,4.0,1.1,7.3,Medium,7.0
591,19,Female,Pakistan,Undergraduate,Instagram,Entertainment,5.4,180,2.0,1.3,6.2,High,5.0
592,21,Female,Maldives,Undergraduate,Instagram,Entertainment,4.6,145,3.4,2.2,7.4,Medium,8.0
593,20,Female,Maldives,Undergraduate,Instagram,Entertainment,4.4,145,4.8,1.2,7.6,High,8.0
594,22,Male,Bangladesh,Undergraduate,Facebook,Networking,5.1,190,3.7,1.3,6.5,High,5.0
595,21,Female,India,Undergraduate,Instagram,Entertainment,5.6,189,2.2,1.6,5.6,High,6.0
596,19,Male,Nepal,Undergraduate,TikTok,Entertainment,4.3,162,4.3,1.3,7.7,Medium,7.0
597,20,Female,Pakistan,Undergraduate,Instagram,Entertainment,5.0,152,4.5,1.7,6.6,Medium,5.0
598,21,Female,Maldives,Undergraduate,Instagram,Entertainment,4.2,143,2.8,1.3,7.8,Medium,8.0
599,22,Male,Nepal,Undergraduate,Facebook,Networking,4.1,137,3.1,1.8,7.9,Medium,7.0
600,21,Female,Pakistan,Undergraduate,Instagram,Entertainment,4.8,155,2.1,1.5,6.8,High,5.0
601,19,Male,Sri Lanka,Undergraduate,TikTok,Entertainment,5.3,159,2.3,2.3,5.3,High,6.0
602,20,Female,Maldives,Undergraduate,Instagram,Entertainment,4.0,149,4.3,1.8,8.0,Medium,8.0
603,21,Female,India,Undergraduate,Instagram,Entertainment,5.2,171,2.3,1.9,5.2,High,6.0
604,22,Male,Sri Lanka,Undergraduate,Facebook,Networking,5.1,168,2.2,1.9,5.1,High,6.0
605,19,Male,Bangladesh,Undergraduate,TikTok,Entertainment,4.5,141,3.7,1.6,7.1,High,5.0
606,20,Female,India,Undergraduate,Instagram,Entertainment,5.0,163,3.7,1.8,5.0,High,6.0
607,20,Female,Maldives,Undergraduate,Instagram,Entertainment,3.6,151,2.3,2.6,8.4,Medium,8.0
608,20,Female,Pakistan,Undergraduate,Instagram,Entertainment,4.2,157,2.8,3.1,7.4,Medium,5.0
609,22,Male,Sri Lanka,Undergraduate,Facebook,Networking,4.7,149,4.4,2.3,4.7,High,6.0
610,20,Female,India,Undergraduate,Instagram,Entertainment,4.6,145,3.7,1.0,4.6,High,6.0
611,20,Female,Nepal,Undergraduate,TikTok,Entertainment,5.5,185,2.9,1.3,5.9,High,6.0
612,19,Female,Sri Lanka,Undergraduate,Facebook,Networking,5.1,152,2.4,1.7,7.0,Medium,7.0
613,20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.9,165,3.6,1.0,6.4,High,5.0
614,21,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.6,151,2.5,1.3,6.5,Medium,5.0
615,20,Female,Sri Lanka,Undergraduate,Facebook,Networking,5.0,172,3.1,2.2,7.3,High,7.0
616,21,Male,India,Undergraduate,Facebook,Networking,5.1,153,2.9,2.3,7.4,High,7.0
617,20,Female,Nepal,Undergraduate,TikTok,Entertainment,5.7,188,2.8,1.9,5.6,High,6.0
618,19,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.9,170,4.3,1.2,7.5,Medium,7.0
619,19,Female,Nepal,Undergraduate,TikTok,Entertainment,5.8,206,1.8,1.7,5.4,High,6.0
620,21,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.4,139,4.4,2.1,6.9,High,5.0
621,22,Male,Maldives,Undergraduate,TikTok,Entertainment,5.1,159,2.6,1.3,5.3,High,6.0
622,22,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.3,146,4.5,2.5,7.1,High,5.0
623,20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.5,169,3.7,2.4,7.2,Medium,5.0
624,22,Male,India,Undergraduate,Facebook,Networking,4.8,181,2.6,1.6,8.0,Medium,7.0
625,22,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.1,129,4.5,2.1,7.5,Medium,5.0
626,20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.3,144,3.6,2.1,7.6,Medium,5.0
627,22,Male,India,Undergraduate,Facebook,Networking,4.6,160,2.7,0.5,8.4,Medium,7.0
628,19,Female,Nepal,Undergraduate,TikTok,Entertainment,6.2,214,2.3,1.4,4.6,Very High,6.0
629,22,Male,Maldives,Undergraduate,TikTok,Entertainment,4.7,178,4.5,2.4,4.5,High,6.0
630,20,Female,Nepal,Undergraduate,TikTok,Entertainment,6.3,188,2.0,1.2,4.4,Very High,6.0
631,21,Male,Maldives,Undergraduate,TikTok,Entertainment,4.6,150,2.9,2.3,4.3,High,6.0
632,22,Male,India,Undergraduate,Facebook,Networking,4.4,161,3.9,1.5,8.8,Medium,7.0
633,21,Male,Pakistan,Undergraduate,Instagram,Entertainment,3.8,142,5.2,2.9,8.1,Medium,5.0
634,20,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.2,159,2.1,2.3,8.9,Medium,7.0
635,22,Male,Maldives,Undergraduate,TikTok,Entertainment,4.5,145,1.9,1.6,4.1,High,6.0
636,19,Female,USA,Undergraduate,Instagram,Entertainment,6.5,208,2.1,2.0,6.0,High,5.0
637,21,Male,UK,Undergraduate,TikTok,Entertainment,5.8,198,2.2,1.2,6.5,High,6.0
638,20,Female,Australia,Undergraduate,Instagram,Entertainment,4.5,138,3.7,2.4,7.5,Medium,8.0
639,22,Male,Germany,Undergraduate,Facebook,Networking,4.2,155,2.7,1.3,7.8,Medium,7.0
640,20,Female,South Korea,Undergraduate,KakaoTalk,News,5.2,180,3.5,1.2,6.5,High,6.0
641,22,Male,Russia,Undergraduate,VKontakte,Networking,4.8,145,3.3,1.7,7.2,High,7.0
642,21,Male,UK,Undergraduate,Instagram,Entertainment,5.5,179,2.2,1.4,6.7,Very High,6.0
643,22,Male,Germany,Undergraduate,Instagram,Entertainment,4.0,125,4.2,1.7,7.9,Medium,8.0
644,19,Female,Japan,Undergraduate,LINE,Education,3.5,143,5.2,2.4,8.0,Medium,8.0
645,21,Male,Italy,Undergraduate,TikTok,Entertainment,5.7,169,1.0,1.8,6.5,High,5.0
646,22,Male,Russia,Undergraduate,VKontakte,News,4.5,154,2.6,1.7,7.4,Very High,7.0
647,19,Female,USA,Undergraduate,Instagram,Entertainment,6.8,213,1.0,1.4,5.9,Very High,4.0
648,20,Female,Australia,Undergraduate,Instagram,Entertainment,4.6,170,1.7,2.9,7.3,Medium,7.0
649,19,Female,Japan,Undergraduate,LINE,Entertainment,3.7,147,4.9,2.6,7.8,Medium,8.0
650,21,Male,Italy,Undergraduate,Instagram,Entertainment,5.4,186,2.4,3.2,6.7,High,5.0
651,20,Female,South Korea,Undergraduate,KakaoTalk,Networking,5.1,174,1.0,2.0,6.6,High,6.0
652,22,Male,Russia,Undergraduate,VKontakte,Entertainment,4.7,154,2.5,2.1,7.3,High,7.0
653,19,Female,Japan,Undergraduate,LINE,Entertainment,3.6,123,5.0,2.4,8.1,Medium,8.0
654,20,Female,South Korea,Undergraduate,KakaoTalk,Networking,4.9,162,3.4,1.8,6.9,High,6.0
655,19,Female,USA,Undergraduate,Instagram,Entertainment,6.7,230,2.8,1.8,5.8,Very High,4.0
656,20,Female,Australia,Undergraduate,Instagram,Entertainment,4.4,141,3.9,1.6,7.4,High,7.0
657,19,Female,Japan,Undergraduate,LINE,Networking,3.4,138,5.6,2.5,8.2,Medium,8.0
658,20,Female,South Korea,Undergraduate,KakaoTalk,News,5.0,164,2.6,1.6,6.7,Medium,6.0
659,19,Female,USA,Undergraduate,TikTok,Entertainment,6.6,195,1.0,1.7,5.6,Very High,4.0
660,21,Male,UK,Undergraduate,Instagram,Entertainment,5.3,184,2.9,2.1,6.3,High,6.0
661,20,Female,Australia,Undergraduate,Facebook,Networking,4.3,150,4.5,2.1,7.5,Medium,7.0
662,22,Male,Germany,Undergraduate,Instagram,Entertainment,3.8,139,4.4,2.3,7.7,Medium,8.0
663,19,Female,Japan,Undergraduate,LINE,News,3.3,139,3.4,2.2,8.3,Low,8.0
664,21,Male,Italy,Undergraduate,TikTok,Entertainment,5.2,155,2.7,1.4,6.9,High,5.0
665,19,Female,USA,Undergraduate,Instagram,Entertainment,6.4,222,1.0,1.4,5.7,Very High,4.0
666,21,Male,UK,Undergraduate,Facebook,Networking,5.2,193,3.5,0.8,6.4,Medium,6.0
667,20,Female,Australia,Undergraduate,Instagram,Entertainment,4.5,157,3.7,1.7,7.3,High,7.0
668,22,Male,Germany,Undergraduate,Facebook,Networking,3.7,129,4.6,2.1,7.8,Medium,8.0
669,21,Male,Italy,Undergraduate,Instagram,Entertainment,5.4,167,3.0,1.5,6.7,High,5.0
670,22,Male,Russia,Undergraduate,VKontakte,Networking,4.2,137,6.0,1.4,7.8,High,7.0
671,19,Female,USA,Undergraduate,TikTok,Entertainment,6.6,207,1.2,0.5,5.5,Very High,4.0
672,21,Male,Italy,Undergraduate,TikTok,Entertainment,5.3,187,1.9,0.9,6.8,Very High,5.0
673,20,Female,South Korea,Undergraduate,KakaoTalk,Entertainment,4.6,162,5.2,1.7,7.2,High,6.0
674,22,Male,Russia,Undergraduate,VKontakte,News,4.1,144,4.2,2.1,7.9,Medium,7.0
675,19,Female,USA,Undergraduate,Instagram,Entertainment,6.7,198,1.0,1.4,5.4,Very High,4.0
676,20,Female,Australia,Undergraduate,Instagram,Entertainment,4.3,149,3.6,1.5,7.5,High,7.0
677,22,Male,Germany,Undergraduate,Facebook,Networking,3.5,113,4.3,2.2,8.0,Medium,8.0
678,20,Female,South Korea,Undergraduate,KakaoTalk,Networking,4.5,155,3.8,1.5,7.3,High,6.0
679,21,Male,UK,Undergraduate,Instagram,Entertainment,4.9,176,2.8,1.5,6.7,Medium,6.0
680,20,Female,Australia,Undergraduate,Facebook,Networking,4.2,133,3.4,1.7,7.6,High,7.0
681,19,Female,Japan,Undergraduate,LINE,News,2.9,126,4.9,2.4,8.7,Medium,8.0
682,22,Male,Russia,Undergraduate,VKontakte,Education,3.9,139,2.7,2.1,8.1,Medium,7.0
683,19,Female,USA,Undergraduate,Instagram,Entertainment,6.9,213,1.8,0.8,5.2,Very High,4.0
684,21,Male,UK,Undergraduate,Facebook,Networking,4.8,168,2.9,2.0,6.8,Medium,6.0
685,20,Female,Australia,Undergraduate,Instagram,Entertainment,4.1,134,4.2,1.3,7.7,High,7.0
686,19,Female,Japan,Undergraduate,LINE,Education,2.8,103,6.3,2.2,8.8,Low,8.0
687,22,Male,Russia,Undergraduate,VKontakte,Entertainment,3.8,140,3.0,1.9,8.2,Low,7.0
688,19,Female,Japan,Undergraduate,LINE,Networking,2.7,93,5.6,2.0,8.9,Low,8.0
689,22,Male,Germany,Undergraduate,Facebook,Networking,3.1,123,4.6,3.2,8.4,Low,8.0
690,21,Male,Denmark,Undergraduate,Facebook,Networking,4.1,149,2.5,1.9,7.8,High,8.0
691,22,Male,India,Undergraduate,WhatsApp,News,5.8,198,3.2,1.5,6.5,High,5.0
692,20,Female,USA,Undergraduate,TikTok,Entertainment,6.8,213,1.0,1.0,5.5,Very High,5.0
693,22,Male,Mexico,Undergraduate,WhatsApp,News,5.6,191,1.9,1.1,6.6,High,6.0
694,21,Male,Canada,Undergraduate,Instagram,Entertainment,5.3,185,2.3,1.3,6.9,High,6.0
695,22,Male,Denmark,Undergraduate,Facebook,Networking,3.9,138,2.6,2.3,7.9,Medium,8.0
696,20,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.8,153,4.1,1.9,8.0,Medium,8.0
697,20,Female,Ireland,Undergraduate,TikTok,Entertainment,4.7,149,3.9,1.2,7.2,High,7.0
698,19,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.7,120,4.8,2.9,8.1,Medium,8.0
699,21,Male,Turkey,Undergraduate,Instagram,Entertainment,5.3,168,2.7,1.9,6.9,Very High,6.0
700,20,Female,USA,Undergraduate,TikTok,Entertainment,7.0,201,1.4,1.2,5.3,Very High,5.0
701,19,Female,USA,Undergraduate,Instagram,Entertainment,7.1,218,1.0,1.8,5.2,Very High,5.0
702,21,Male,Mexico,Undergraduate,WhatsApp,Education,5.9,172,1.9,1.5,6.3,Very High,6.0
703,20,Female,France,Undergraduate,Instagram,Entertainment,4.2,162,3.6,1.9,7.8,Medium,7.0
704,22,Male,Canada,Undergraduate,TikTok,Entertainment,5.0,154,3.3,2.3,7.2,Medium,6.0
705,22,Male,India,Undergraduate,WhatsApp,Entertainment,6.2,215,2.5,1.6,6.1,High,5.0
706,20,Female,USA,Undergraduate,TikTok,Entertainment,7.2,230,1.4,1.6,5.1,Very High,5.0
707,19,Female,France,Undergraduate,Instagram,Entertainment,4.1,154,3.2,2.7,7.9,Medium,7.0
708,22,Male,Denmark,Undergraduate,Facebook,Networking,3.5,127,4.7,1.5,8.3,Medium,8.0
709,21,Male,India,Undergraduate,WhatsApp,Education,6.3,194,1.3,1.1,6.0,Very High,5.0
710,22,Male,Turkey,Undergraduate,TikTok,Entertainment,5.0,155,2.0,1.6,7.2,Medium,6.0
711,21,Male,Mexico,Undergraduate,WhatsApp,News,6.1,203,1.4,2.5,6.1,Very High,6.0
712,19,Female,Spain,Undergraduate,Instagram,Entertainment,4.6,169,4.6,1.7,7.3,Medium,6.0
713,20,Female,Ireland,Undergraduate,TikTok,Entertainment,4.3,133,3.9,1.8,7.6,Medium,7.0
714,19,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.3,121,5.9,2.7,8.5,Low,8.0
715,21,Male,Turkey,Undergraduate,Instagram,Entertainment,4.9,176,2.9,1.5,7.3,High,6.0
716,20,Female,USA,Undergraduate,TikTok,Entertainment,7.4,212,1.0,1.1,4.9,Very High,5.0
717,22,Male,Mexico,Undergraduate,WhatsApp,News,6.2,212,1.5,0.7,6.0,Very High,6.0
718,20,Female,Spain,Undergraduate,TikTok,Entertainment,4.5,171,3.2,2.2,7.4,Medium,6.0
719,19,Female,Ireland,Undergraduate,Instagram,Entertainment,4.2,135,3.7,1.5,7.7,High,7.0
720,21,Male,India,Undergraduate,WhatsApp,News,6.5,224,3.3,1.5,5.8,Very High,5.0
721,20,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.2,125,4.9,1.7,8.6,Medium,8.0
722,22,Male,Turkey,Undergraduate,TikTok,Entertainment,4.8,163,4.6,1.7,7.4,Medium,6.0
723,19,Female,USA,Undergraduate,Instagram,Entertainment,7.5,239,1.0,1.5,4.8,Very High,5.0
724,20,Female,France,Undergraduate,Instagram,Entertainment,3.8,144,3.6,1.3,8.2,Medium,7.0
725,22,Male,Canada,Undergraduate,TikTok,Entertainment,4.6,140,2.7,1.2,7.6,High,6.0
726,19,Female,Spain,Undergraduate,Instagram,Entertainment,4.4,157,4.0,1.2,7.5,Medium,6.0
727,19,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.1,106,3.8,1.3,8.7,Medium,8.0
728,21,Male,Turkey,Undergraduate,Instagram,Entertainment,4.7,177,2.2,2.5,7.5,High,6.0
729,22,Male,Mexico,Undergraduate,WhatsApp,Education,6.4,195,1.7,0.6,5.8,Very High,6.0
730,21,Male,Canada,Undergraduate,Instagram,Entertainment,4.5,168,3.5,2.4,7.7,High,6.0
731,21,Male,India,Undergraduate,WhatsApp,Education,6.7,196,3.0,0.3,5.6,Very High,5.0
732,21,Male,Mexico,Undergraduate,WhatsApp,Entertainment,6.5,196,1.9,1.1,5.7,Very High,6.0
733,22,Male,Canada,Undergraduate,TikTok,Entertainment,4.4,152,3.7,2.4,7.8,High,6.0
734,19,Female,Spain,Undergraduate,Instagram,Entertainment,4.2,166,4.1,2.6,7.7,Medium,6.0
735,20,Female,Ireland,Undergraduate,TikTok,Entertainment,3.9,135,3.5,2.6,8.0,Medium,7.0
736,22,Male,India,Undergraduate,WhatsApp,Networking,6.8,212,1.9,1.7,5.5,Very High,5.0
737,22,Male,Denmark,Undergraduate,Facebook,Networking,2.9,117,4.8,3.0,8.9,Low,8.0
738,19,Female,Ireland,Undergraduate,Instagram,Entertainment,3.8,131,3.3,2.0,8.1,Medium,7.0
739,20,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.8,126,4.3,2.8,9.0,Low,8.0
740,19,Female,USA,Undergraduate,Instagram,Entertainment,7.9,244,1.0,1.3,4.4,Very High,5.0
741,19,Female,Spain,Undergraduate,Instagram,Entertainment,4.0,160,4.3,1.4,7.9,High,6.0
742,21,Male,Denmark,Undergraduate,Facebook,Networking,2.8,109,5.0,2.4,9.0,Low,8.0
743,20,Female,Ireland,Undergraduate,TikTok,Entertainment,3.7,140,4.7,2.9,8.2,Medium,7.0
744,21,Male,Turkey,Undergraduate,Instagram,Entertainment,4.3,155,5.3,2.2,7.9,Medium,6.0
745,22,Male,Mexico,Undergraduate,WhatsApp,Networking,6.8,219,1.3,1.6,5.4,Very High,6.0
746,21,Male,Canada,Undergraduate,Instagram,Entertainment,4.1,140,4.6,1.7,8.1,Medium,6.0
747,19,Female,Ireland,Undergraduate,Instagram,Entertainment,3.6,120,4.6,1.9,8.3,Low,7.0
748,20,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.6,123,6.4,2.3,9.2,Medium,8.0
749,22,Male,Turkey,Undergraduate,TikTok,Entertainment,4.2,134,3.5,2.0,8.0,Medium,6.0
750,19,Female,USA,Undergraduate,Instagram,Entertainment,8.1,231,1.0,1.3,4.2,Very High,5.0
751,21,Male,Mexico,Undergraduate,WhatsApp,News,6.9,224,1.0,0.9,5.3,Very High,6.0
752,20,Female,France,Undergraduate,Instagram,Entertainment,3.2,138,2.6,2.2,8.8,Low,7.0
753,19,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.5,126,5.4,1.7,9.3,Low,8.0
754,21,Male,Turkey,Undergraduate,Instagram,Entertainment,4.1,138,2.2,1.2,8.1,Medium,6.0
755,20,Female,USA,Undergraduate,TikTok,Entertainment,8.2,247,1.0,0.9,4.1,Very High,5.0
756,22,Male,Mexico,Undergraduate,WhatsApp,Education,7.0,217,1.4,2.0,5.2,Very High,6.0
757,21,Male,Canada,Undergraduate,Instagram,Entertainment,3.9,132,4.9,2.7,8.3,Medium,6.0
758,20,Female,Spain,Undergraduate,TikTok,Entertainment,3.7,144,3.4,2.3,8.2,Low,6.0
759,22,Male,Denmark,Undergraduate,Facebook,Networking,2.5,114,7.1,2.6,9.3,Low,8.0
760,20,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.4,87,4.3,2.2,9.4,Low,8.0
761,22,Male,Turkey,Undergraduate,TikTok,Entertainment,4.0,133,3.3,2.4,8.2,Medium,6.0
762,19,Female,USA,Undergraduate,Instagram,Entertainment,8.3,271,1.0,0.5,4.0,Very High,5.0
763,22,Male,Canada,Undergraduate,TikTok,Entertainment,3.8,155,4.4,2.0,8.4,Low,6.0
764,19,Female,Spain,Undergraduate,Instagram,Entertainment,3.6,143,4.3,2.3,8.3,Medium,6.0
765,22,Male,India,Undergraduate,WhatsApp,Entertainment,7.4,229,1.0,2.0,4.9,Very High,5.0
766,19,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.3,107,5.1,2.9,9.5,Low,8.0
767,19,Female,France,Undergraduate,Instagram,Entertainment,2.9,132,4.5,1.7,9.1,Low,7.0
768,20,Female,Spain,Undergraduate,TikTok,Entertainment,3.5,117,4.2,1.3,8.4,High,6.0
769,19,Female,Ireland,Undergraduate,Instagram,Entertainment,3.2,144,4.3,2.1,8.7,Medium,7.0
770,20,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.2,93,6.4,2.7,9.6,Low,8.0
771,22,Male,Turkey,Undergraduate,TikTok,Entertainment,3.8,155,4.8,2.3,8.4,Medium,6.0
772,22,Male,Canada,Undergraduate,TikTok,Entertainment,3.6,142,3.7,1.5,8.6,Medium,6.0
773,19,Female,Brazil,Undergraduate,WhatsApp,Education,6.2,198,1.0,1.4,6.3,Very High,6.0
774,22,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.7,146,2.4,2.2,7.5,High,7.0
775,21,Male,Malaysia,Undergraduate,WhatsApp,Networking,5.5,180,3.1,1.9,6.8,High,6.0
776,20,Female,UAE,Undergraduate,Instagram,Entertainment,6.5,188,1.0,1.8,6.5,Very High,5.0
777,21,Male,Canada,Undergraduate,Instagram,Entertainment,4.8,182,3.5,2.0,7.4,Medium,7.0
778,21,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.6,172,3.4,2.0,7.6,Medium,7.0
779,20,Female,Singapore,Undergraduate,TikTok,Entertainment,5.2,169,3.6,1.8,6.9,High,6.0
780,19,Female,UAE,Undergraduate,Instagram,Entertainment,6.6,194,1.7,0.7,6.4,Very High,5.0
781,19,Female,Brazil,Undergraduate,WhatsApp,Networking,6.0,179,1.4,1.5,6.5,Very High,6.0
782,21,Male,China,Undergraduate,WeChat,News,4.3,148,3.6,2.1,8.0,Medium,7.0
783,21,Male,Malaysia,Undergraduate,WhatsApp,Education,5.7,173,1.5,1.2,6.6,High,6.0
784,21,Male,Canada,Undergraduate,Instagram,Entertainment,4.6,175,3.3,2.8,7.6,Medium,7.0
785,22,Male,China,Undergraduate,WeChat,News,4.2,148,4.1,1.8,8.1,Medium,7.0
786,19,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.5,119,4.9,3.4,8.5,Low,8.0
787,21,Male,New Zealand,Undergraduate,Facebook,Networking,4.4,148,3.9,1.7,7.8,Medium,7.0
788,22,Male,Malaysia,Undergraduate,WhatsApp,Networking,5.8,178,3.5,0.7,6.5,Medium,6.0
789,19,Female,UAE,Undergraduate,Instagram,Entertainment,6.8,221,1.0,2.0,6.2,High,5.0
790,20,Female,India,Undergraduate,WhatsApp,Networking,7.1,214,1.8,2.4,5.7,Very High,5.0
791,21,Male,China,Undergraduate,WeChat,Education,4.1,138,3.7,2.0,8.2,High,7.0
792,20,Female,Netherlands,Undergraduate,Instagram,Entertainment,3.4,131,5.7,2.6,8.6,Medium,8.0
793,19,Female,Singapore,Undergraduate,TikTok,Entertainment,5.5,196,2.7,2.4,6.6,High,6.0
794,21,Male,Malaysia,Undergraduate,WhatsApp,News,5.9,197,1.9,1.9,6.4,High,6.0
795,22,Male,Poland,Undergraduate,Facebook,Networking,3.8,151,4.4,2.4,8.3,Medium,7.0
796,21,Male,Canada,Undergraduate,Instagram,Entertainment,4.4,145,3.6,1.6,7.8,Medium,7.0
797,20,Female,Brazil,Undergraduate,TikTok,Entertainment,5.7,186,2.4,1.3,6.8,High,6.0
798,22,Male,China,Undergraduate,WeChat,Education,4.0,150,3.5,1.1,8.3,Medium,7.0
799,21,Male,Poland,Undergraduate,Facebook,Networking,3.7,145,4.8,2.2,8.4,Medium,7.0
800,20,Female,India,Undergraduate,WhatsApp,News,7.3,246,1.0,0.9,5.5,Very High,5.0
801,21,Male,China,Undergraduate,WeChat,News,3.9,129,4.3,2.0,8.4,Medium,7.0
802,22,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.1,161,2.0,2.0,8.1,Medium,7.0
803,19,Female,Singapore,Undergraduate,TikTok,Entertainment,5.7,182,3.6,1.1,6.4,Very High,6.0
804,20,Female,UAE,Undergraduate,Instagram,Entertainment,7.1,211,1.8,1.5,5.9,Very High,5.0
805,22,Male,Poland,Undergraduate,Facebook,Networking,3.6,138,3.4,2.5,8.5,Medium,7.0
806,20,Female,Spain,Undergraduate,Instagram,Entertainment,6.1,214,1.9,1.4,7.2,High,5.0
807,19,Female,Ireland,Undergraduate,TikTok,Entertainment,5.5,184,3.4,1.0,6.8,High,6.0
808,22,Male,India,Undergraduate,Facebook,Networking,7.2,237,1.0,1.1,5.9,Very High,4.0
809,24,Male,Turkey,Graduate,TikTok,Entertainment,6.8,218,1.2,1.4,6.2,Very High,5.0
810,19,Female,France,Undergraduate,Twitter,News,4.7,174,3.7,2.7,7.4,Medium,7.0
811,22,Male,China,Undergraduate,WeChat,Networking,5.8,179,2.1,2.3,6.5,Very High,6.0
812,22,Male,Ireland,Undergraduate,Twitter,News,5.7,206,2.7,2.0,6.8,High,6.0
813,23,Male,Switzerland,Graduate,Facebook,Networking,4.3,141,3.5,2.2,7.5,Medium,7.0
814,23,Female,Canada,Graduate,TikTok,Entertainment,4.9,167,3.2,1.8,7.3,High,7.0
