Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
18.0,Male,Other,High School,TikTok,Entertainment,8.0,250.0,1.0,1.4,5.6,Very High,4.5
19.0,Male,India,Undergraduate,Twitter,News,7.7,239.0,1.0,1.5,,Very High,4.7
,Male,Other,Undergraduate,Snapchat,Entertainment,8.1,263.0,1.0,1.5,5.2,Very High,5.0
,Male,Other,Undergraduate,TikTok,Entertainment,6.2,203.0,1.0,1.4,5.2,Very High,5.8
18.0,Female,Other,High School,Facebook,Networking,4.9,167.0,3.3,1.9,7.1,High,6.6
23.0,Male,Other,Graduate,YouTube,Education,3.9,134.0,5.1,2.3,8.5,Low,8.9
21.0,Male,Other,Undergraduate,Twitter,News,6.6,193.0,1.1,1.4,5.0,Very High,6.0
22.0,Male,Other,Undergraduate,Instagram,Entertainment,6.2,215.0,1.0,1.3,4.7,Very High,4.4
24.0,Male,UK,Graduate,Facebook,Networking,2.4,118.0,4.2,2.2,7.5,Low,7.1
19.0,Male,,Undergraduate,,Entertainment,3.6,,3.7,1.7,8.7,Low,8.5
18.0,Male,Other,High School,Instagram,Entertainment,2.8,123.0,4.8,2.5,8.8,Low,8.6
23.0,Male,Other,Graduate,YouTube,Education,1.6,79.0,6.1,2.6,7.1,Low,8.1
22.0,,USA,Undergraduate,,Networking,7.3,224.0,1.0,0.8,5.9,Very High,4.4
18.0,Female,Canada,High School,YouTube,Education,6.8,228.0,1.0,1.0,5.2,Very High,5.2
22.0,Male,Other,Undergraduate,Facebook,Networking,7.7,250.0,1.1,0.5,5.0,Very High,6.0
23.0,Female,Germany,Graduate,LinkedIn,Education,5.5,169.0,2.0,2.1,7.3,High,6.9
22.0,Male,Other,Undergraduate,TikTok,Entertainment,6.2,192.0,1.1,1.5,5.5,Very High,5.9
24.0,Female,Other,Graduate,LinkedIn,Education,4.6,172.0,3.8,1.4,6.8,High,6.4
20.0,,Other,Undergraduate,,Networking,7.2,241.0,1.0,1.6,5.6,Very High,5.6
24.0,,Other,Graduate,TikTok,Entertainment,3.3,110.0,5.0,1.9,7.7,Medium,7.7
23.0,Male,Other,Graduate,YouTube,Education,,193.0,2.7,0.9,6.6,High,6.4
23.0,Female,Other,Graduate,TikTok,Entertainment,3.2,124.0,4.7,2.7,,Medium,
18.0,Female,Other,High School,Snapchat,Entertainment,3.7,140.0,5.6,1.8,7.9,Medium,7.3
19.0,Female,Other,Undergraduate,Snapchat,Entertainment,6.3,185.0,1.2,,5.7,,5.4
21.0,Female,,,YouTube,Education,,239.0,2.1,1.1,5.0,Very High,
23.0,Female,Other,Graduate,Facebook,Networking,6.0,202.0,1.8,2.1,,High,
20.0,Male,India,Undergraduate,TikTok,Entertainment,8.2,255.0,1.0,1.0,5.8,Very High,5.9
18.0,Female,Other,High School,YouTube,Education,6.1,208.0,2.0,0.9,5.5,Very High,4.5
19.0,Female,Other,Undergraduate,Instagram,Entertainment,8.2,267.0,1.0,1.2,4.5,Very High,5.8
24.0,Male,Other,Graduate,LinkedIn,Education,,190.0,2.1,1.4,7.0,Medium,6.2
22.0,,Other,Undergraduate,,Education,5.8,199.0,2.5,2.5,7.2,High,6.0
22.0,Female,USA,Undergraduate,YouTube,Education,7.2,244.0,1.2,1.2,4.6,Very High,5.4
23.0,Male,UK,Graduate,Snapchat,Entertainment,4.0,151.0,3.5,0.9,7.2,Medium,6.2
20.0,Female,Other,Undergraduate,LinkedIn,Education,3.3,133.0,5.5,2.4,7.5,Low,8.3
22.0,Male,India,Undergraduate,Snapchat,Entertainment,6.1,198.0,2.8,2.4,4.5,Very High,5.8
18.0,Female,India,High School,Facebook,Networking,6.8,225.0,2.3,2.1,4.8,Very High,4.2
24.0,Male,Other,Graduate,Snapchat,Entertainment,,112.0,5.0,,7.1,Medium,
24.0,Female,Other,Graduate,Instagram,Entertainment,7.7,237.0,1.4,0.6,4.8,Very High,4.8
23.0,Female,Other,Graduate,Instagram,Entertainment,7.6,232.0,1.0,1.6,4.7,Very High,5.6
24.0,Female,India,Graduate,Snapchat,Entertainment,4.7,178.0,3.0,1.5,6.6,High,6.8
20.0,Male,Other,Undergraduate,Facebook,Networking,4.9,149.0,2.4,1.9,7.4,Medium,6.1
23.0,Male,Other,Graduate,LinkedIn,Education,8.0,250.0,1.0,0.4,4.9,Very High,5.9
24.0,Male,Other,Graduate,YouTube,Education,7.2,212.0,1.0,0.9,5.9,Very High,5.9
22.0,Female,USA,Undergraduate,LinkedIn,Education,1.7,102.0,6.2,2.2,7.9,Low,8.3
24.0,Female,Other,Graduate,TikTok,Entertainment,4.6,174.0,4.9,2.3,6.8,High,6.5
18.0,Male,Australia,High School,Facebook,Networking,4.4,144.0,3.5,2.3,6.5,Medium,6.5
24.0,Female,Other,Graduate,,Entertainment,3.7,151.0,4.6,2.2,8.8,Medium,8.8
18.0,Female,Other,High School,YouTube,Education,1.8,89.0,6.0,1.9,7.9,Low,8.0
23.0,Female,USA,Graduate,YouTube,Education,7.7,255.0,1.0,0.9,4.9,Very High,5.8
18.0,Male,USA,High School,Facebook,Networking,4.5,166.0,3.5,1.5,7.2,Medium,6.5
22.0,,Australia,Undergraduate,Facebook,Networking,,228.0,1.0,1.4,5.2,Very High,5.5
23.0,Male,Other,Graduate,YouTube,Education,3.5,120.0,5.4,2.7,7.8,Medium,7.2
21.0,Female,Canada,Undergraduate,Instagram,Entertainment,3.4,126.0,5.9,2.7,7.0,Low,7.3
,Male,Other,Undergraduate,TikTok,Entertainment,4.0,133.0,4.2,1.6,7.1,Medium,7.3
24.0,Male,Other,Graduate,TikTok,Entertainment,3.8,125.0,4.7,0.7,6.0,Low,6.1
23.0,,India,Graduate,Twitter,News,3.8,159.0,3.3,1.2,6.6,Medium,6.7
18.0,Male,,High School,Twitter,News,5.6,199.0,2.3,2.3,6.9,High,6.0
23.0,Female,Australia,Graduate,Instagram,Entertainment,4.3,149.0,4.5,1.7,6.4,Medium,6.5
22.0,Female,UK,Undergraduate,Snapchat,Entertainment,4.1,135.0,4.6,1.6,6.1,Medium,6.2
21.0,Female,India,Undergraduate,YouTube,Education,2.5,94.0,5.7,3.2,7.2,Low,7.0
23.0,Male,,Graduate,LinkedIn,Education,4.5,173.0,4.2,2.5,6.2,High,6.4
22.0,Female,Other,Undergraduate,Facebook,Networking,,230.0,1.0,1.1,5.8,Very High,5.5
,Male,USA,Graduate,Facebook,Networking,5.2,155.0,3.8,1.6,7.3,High,
22.0,Female,Australia,Undergraduate,Facebook,Networking,8.0,240.0,1.0,0.9,5.1,Very High,4.9
23.0,Male,Other,Graduate,Snapchat,Entertainment,6.9,215.0,1.0,1.4,5.7,Very High,5.7
20.0,Male,Canada,Undergraduate,LinkedIn,,4.3,156.0,4.0,,6.6,Medium,6.7
20.0,Male,Other,,YouTube,Education,3.5,125.0,2.2,2.3,8.3,Medium,8.2
21.0,Male,UK,Undergraduate,LinkedIn,Education,7.6,251.0,1.0,1.5,6.0,Very High,4.5
19.0,Female,Other,Undergraduate,LinkedIn,Education,6.1,202.0,,2.1,5.8,High,4.1
19.0,Male,Other,Undergraduate,YouTube,Education,7.0,239.0,1.0,0.7,5.4,,5.9
18.0,Male,Other,High School,YouTube,Education,6.0,189.0,2.4,1.9,5.9,High,4.1
24.0,Male,Other,Graduate,LinkedIn,Education,7.0,226.0,1.4,1.1,5.0,Very High,4.5
23.0,Female,Other,Graduate,Instagram,Entertainment,2.7,,4.4,1.1,7.8,Low,8.8
21.0,Male,USA,Undergraduate,Snapchat,Entertainment,,149.0,3.5,1.0,7.1,Low,
19.0,Female,Other,,Twitter,News,5.5,191.0,3.6,1.1,5.4,Very High,
22.0,,Other,Undergraduate,Facebook,Networking,1.9,84.0,,2.8,8.4,Low,8.5
23.0,Female,Other,Graduate,LinkedIn,Education,1.8,107.0,8.0,2.6,8.2,Low,7.2
23.0,Male,Other,Graduate,Facebook,Networking,4.9,181.0,3.1,1.9,6.3,High,6.1
20.0,Male,UK,Undergraduate,LinkedIn,Education,4.3,,4.0,2.9,6.2,,6.2
19.0,Female,Other,Undergraduate,YouTube,Education,2.9,105.0,6.4,1.6,7.1,Medium,8.8
22.0,Female,Germany,Undergraduate,Facebook,Networking,7.2,233.0,1.0,1.2,5.4,Very High,5.7
22.0,Male,Other,Undergraduate,LinkedIn,Education,7.9,226.0,1.0,1.2,4.7,Very High,4.1
19.0,Female,Germany,Undergraduate,Instagram,Entertainment,2.5,91.0,5.4,2.0,8.3,Low,7.2
21.0,Female,Other,,LinkedIn,Education,3.8,158.0,4.2,2.1,7.4,Medium,7.3
20.0,Female,Other,Undergraduate,Snapchat,Entertainment,5.8,176.0,1.1,0.8,7.2,High,6.1
20.0,Male,Other,Undergraduate,Facebook,Networking,5.9,206.0,1.9,2.2,5.8,High,4.7
22.0,Male,Other,Undergraduate,Instagram,Entertainment,2.6,107.0,,2.0,7.5,Medium,8.8
18.0,Female,Other,High School,Twitter,News,5.2,167.0,3.5,2.7,6.8,High,6.9
21.0,Male,Other,Undergraduate,Snapchat,Entertainment,1.7,69.0,6.3,2.6,8.5,Low,7.7
20.0,Male,Australia,Undergraduate,Twitter,News,,122.0,5.0,,7.0,Medium,7.8
19.0,Male,Other,Undergraduate,Facebook,Networking,3.8,148.0,4.1,2.0,7.4,Low,8.8
24.0,Male,Other,Graduate,LinkedIn,Education,5.1,170.0,3.1,1.7,6.5,High,6.8
23.0,Male,India,,Instagram,Entertainment,3.7,149.0,4.8,1.8,6.5,Medium,6.9
23.0,Female,India,Graduate,Snapchat,Entertainment,1.5,74.0,5.7,2.7,7.2,Low,7.7
18.0,Female,UK,High School,Facebook,Networking,3.5,134.0,3.7,2.3,7.9,Medium,8.5
,Male,Other,,Facebook,Networking,3.8,131.0,5.1,1.7,6.5,Medium,6.4
21.0,Female,Other,Undergraduate,,Education,4.1,150.0,3.6,1.9,6.2,High,6.6
21.0,Female,Other,Undergraduate,Snapchat,Entertainment,5.4,165.0,1.5,1.3,6.3,High,6.5
21.0,Female,Other,Undergraduate,YouTube,Education,6.7,211.0,,2.5,5.5,Very High,4.9
21.0,Male,Other,Undergraduate,Facebook,Networking,7.4,231.0,1.0,1.1,5.3,Very High,5.5
24.0,,India,Graduate,Facebook,Networking,3.8,142.0,3.0,2.8,6.3,Medium,6.8
19.0,Male,Other,Undergraduate,LinkedIn,Education,7.4,227.0,1.0,1.1,5.7,Very High,5.7
22.0,Female,Other,Undergraduate,LinkedIn,Education,2.0,100.0,6.6,2.6,7.5,Low,8.3
22.0,Male,Other,Undergraduate,Facebook,Networking,7.3,227.0,1.0,0.5,5.8,Very High,5.3
24.0,Female,Canada,Graduate,Facebook,Networking,5.8,181.0,2.7,1.3,5.5,High,4.1
22.0,Female,Canada,Undergraduate,Snapchat,Entertainment,7.2,213.0,,1.3,5.1,High,4.6
24.0,Female,Other,Graduate,LinkedIn,,3.6,140.0,4.7,2.9,8.4,Low,7.6
21.0,Female,Other,Undergraduate,TikTok,Entertainment,7.6,252.0,1.0,1.2,5.2,Very High,4.1
22.0,Female,Other,Undergraduate,TikTok,Entertainment,3.8,150.0,3.8,2.7,7.4,Medium,6.8
21.0,Male,Other,Undergraduate,Twitter,,6.1,202.0,2.6,1.8,5.8,Very High,4.4
20.0,Female,UK,Undergraduate,TikTok,Entertainment,2.9,133.0,6.3,3.1,7.5,Low,7.9
24.0,Female,Other,Graduate,Instagram,,3.7,152.0,5.7,2.0,8.8,Medium,
21.0,Female,Australia,,Facebook,Networking,7.0,220.0,2.1,2.4,5.9,Very High,4.1
22.0,Female,Other,Undergraduate,Instagram,Entertainment,3.9,126.0,4.0,1.8,7.7,Medium,8.3
19.0,Male,Other,Undergraduate,YouTube,Education,6.0,200.0,2.3,1.1,5.6,Very High,4.2
18.0,,Other,High School,TikTok,Entertainment,2.3,106.0,6.3,1.8,8.0,Low,7.2
,Female,Other,Undergraduate,TikTok,Entertainment,2.3,93.0,5.8,3.6,8.0,Low,8.5
19.0,Male,India,Undergraduate,Twitter,News,3.5,145.0,4.6,,6.0,Medium,7.0
22.0,Male,,Undergraduate,Instagram,Entertainment,7.8,254.0,1.0,0.9,6.0,Very High,5.3
19.0,Male,UK,Undergraduate,Instagram,Entertainment,7.4,223.0,1.0,1.8,5.2,Very High,4.7
20.0,Female,Germany,Undergraduate,LinkedIn,Education,3.2,124.0,4.2,2.5,8.9,Low,7.5
23.0,Male,Australia,Graduate,Twitter,News,5.8,177.0,1.9,,4.8,,5.0
21.0,Female,Other,Undergraduate,Instagram,Entertainment,6.9,204.0,1.6,0.5,5.7,Very High,4.6
22.0,Male,Other,Undergraduate,Twitter,,2.6,100.0,5.4,2.2,8.2,Medium,7.2
20.0,Male,Other,Undergraduate,YouTube,Education,2.3,96.0,6.0,2.2,,Medium,7.4
23.0,Male,USA,Graduate,Instagram,Entertainment,5.5,172.0,3.0,0.6,5.9,High,4.3
24.0,Male,,Graduate,Snapchat,Entertainment,4.0,131.0,3.7,2.5,8.6,Medium,8.6
19.0,Male,Other,Undergraduate,LinkedIn,Education,6.2,197.0,2.4,1.3,4.7,Very High,4.3
18.0,Male,,High School,Snapchat,Entertainment,4.7,166.0,3.6,2.2,6.1,Medium,6.6
20.0,Female,UK,Undergraduate,YouTube,Education,3.7,130.0,3.3,3.3,8.6,Medium,8.4
19.0,Female,Other,Undergraduate,LinkedIn,Education,,196.0,3.2,1.3,6.0,Very High,5.8
24.0,Male,Other,Graduate,TikTok,,,230.0,1.0,0.8,5.0,Very High,4.8
20.0,Male,USA,Undergraduate,Instagram,Entertainment,,150.0,2.8,2.1,6.6,Medium,6.8
19.0,Female,Other,Undergraduate,YouTube,Education,7.2,230.0,1.0,1.7,5.9,Very High,5.0
21.0,Female,Other,Undergraduate,Twitter,News,6.2,218.0,1.0,1.2,5.4,Very High,5.4
21.0,Female,Canada,Undergraduate,Twitter,News,7.7,219.0,1.0,0.8,5.6,Very High,4.5
22.0,Male,USA,Undergraduate,Twitter,News,4.0,159.0,3.8,2.5,7.6,Medium,8.6
22.0,Female,USA,Undergraduate,LinkedIn,Education,4.2,143.0,3.5,2.1,6.8,High,6.5
24.0,Female,USA,Graduate,LinkedIn,Education,3.9,124.0,4.6,1.0,7.2,Medium,6.7
21.0,Male,UK,Undergraduate,,Entertainment,4.7,169.0,3.6,1.2,6.2,High,6.3
,Male,India,Graduate,,Entertainment,7.3,213.0,1.0,1.9,5.0,Very High,5.8
23.0,Female,India,Graduate,TikTok,Entertainment,6.4,,1.9,1.6,,Very High,4.9
20.0,Female,Other,Undergraduate,YouTube,Education,3.3,146.0,5.2,1.8,7.4,Low,7.1
19.0,Female,Other,Undergraduate,Twitter,News,6.7,200.0,1.0,1.2,6.0,Very High,4.6
21.0,Male,Other,Undergraduate,Facebook,Networking,7.6,236.0,1.0,1.1,5.1,Very High,4.3
23.0,Male,Other,Graduate,Instagram,Entertainment,,145.0,1.8,2.2,6.6,High,6.3
19.0,Male,Other,Undergraduate,YouTube,Education,3.0,104.0,5.0,1.6,7.1,Medium,
21.0,Female,Other,Undergraduate,Facebook,Networking,,180.0,1.8,1.0,5.1,Very High,4.6
18.0,Female,Other,High School,Instagram,Entertainment,6.6,,2.2,,5.4,Very High,5.4
23.0,Male,Other,Graduate,Twitter,News,8.4,253.0,1.0,0.9,4.6,Very High,5.6
23.0,Female,UK,Graduate,Snapchat,Entertainment,7.0,217.0,1.2,1.5,5.6,High,5.9
,Female,,Graduate,Snapchat,Entertainment,7.9,223.0,1.0,0.4,5.8,Very High,5.1
24.0,Female,Other,Graduate,Facebook,Networking,3.6,128.0,4.8,2.3,8.4,Low,
24.0,Male,Canada,Graduate,Snapchat,Entertainment,5.5,172.0,2.1,2.2,4.6,Very High,5.1
21.0,Male,Other,Undergraduate,Instagram,Entertainment,2.0,97.0,6.0,2.7,7.1,Low,7.7
19.0,Male,Australia,Undergraduate,Facebook,Networking,5.8,209.0,3.0,,7.4,High,6.2
18.0,Female,Other,High School,YouTube,Education,6.3,209.0,1.3,1.4,5.5,High,4.2
19.0,Male,Other,Undergraduate,LinkedIn,,3.2,141.0,5.4,1.8,9.0,Low,8.3
24.0,Female,Other,Graduate,YouTube,Education,1.7,74.0,6.8,2.5,8.5,Low,8.8
18.0,Female,Other,High School,Snapchat,Entertainment,7.0,208.0,1.0,1.9,4.8,Very High,4.4
22.0,Male,Other,Undergraduate,Snapchat,Entertainment,4.8,175.0,4.0,1.7,6.4,High,6.4
24.0,Female,Other,Graduate,Facebook,Networking,6.4,197.0,2.2,1.0,5.0,Very High,4.5
23.0,Male,India,Graduate,TikTok,Entertainment,1.8,103.0,6.3,2.3,8.7,,7.5
18.0,Male,Other,High School,Twitter,News,7.0,218.0,1.0,1.4,5.1,,4.8
22.0,Male,Other,Undergraduate,YouTube,Education,2.6,98.0,,2.2,7.7,Low,8.4
21.0,Female,Other,Undergraduate,Twitter,News,1.7,100.0,5.9,2.8,7.3,Medium,8.0
20.0,Male,Other,Undergraduate,Instagram,Entertainment,5.0,172.0,3.4,2.0,7.0,Medium,6.8
23.0,Male,Other,Graduate,Instagram,Entertainment,6.0,207.0,,1.9,5.4,Very High,5.1
19.0,Female,Other,Undergraduate,,Education,8.3,250.0,1.0,,,Very High,4.7
21.0,Male,Other,Undergraduate,LinkedIn,Education,3.7,122.0,3.3,2.6,7.0,Medium,8.5
18.0,Female,Other,High School,Snapchat,Entertainment,8.4,262.0,,0.4,,Very High,5.6
19.0,Female,Other,,Twitter,News,5.5,166.0,2.6,1.2,5.1,Very High,5.3
21.0,Male,Other,Undergraduate,YouTube,Education,8.0,251.0,2.0,1.0,5.0,Very High,4.6
22.0,Male,Australia,Undergraduate,YouTube,Education,2.2,96.0,4.7,2.2,8.6,Low,8.6
22.0,,Other,Undergraduate,Twitter,News,7.2,236.0,2.0,0.6,5.9,Very High,5.3
18.0,Male,Other,High School,Instagram,,5.9,206.0,2.2,1.3,5.6,Very High,4.5
24.0,,Other,Graduate,Instagram,,7.0,216.0,1.3,1.0,5.8,,5.1
18.0,Female,Germany,High School,YouTube,Education,1.9,107.0,6.2,2.2,7.7,Low,7.8
20.0,Male,Other,Undergraduate,YouTube,Education,,179.0,2.4,1.3,5.3,,5.0
18.0,Male,India,High School,Snapchat,Entertainment,5.3,161.0,2.6,2.3,6.3,High,6.6
18.0,Male,Other,High School,Snapchat,Entertainment,7.1,241.0,2.1,1.3,4.6,Very High,5.2
22.0,Female,Other,Undergraduate,YouTube,Education,6.2,,1.4,2.7,5.6,Very High,
19.0,Female,Bangladesh,Undergraduate,Instagram,Entertainment,5.2,173.0,3.7,1.8,6.5,Medium,6.0
22.0,Male,India,Undergraduate,Twitter,News,2.1,83.0,5.4,2.3,7.5,Low,8.0
20.0,Female,USA,Undergraduate,TikTok,Entertainment,6.0,186.0,2.0,1.5,5.0,Very High,5.0
18.0,Male,UK,High School,YouTube,,3.0,127.0,4.1,2.4,7.0,Medium,7.0
21.0,Male,Canada,Undergraduate,Facebook,Networking,4.5,169.0,,2.1,6.0,High,
19.0,Female,Australia,Undergraduate,Instagram,Entertainment,7.2,241.0,2.0,2.2,4.5,Very High,4.0
,Male,Germany,Graduate,LinkedIn,Education,1.5,78.0,6.4,2.2,8.0,Low,9.0
20.0,Female,Brazil,Undergraduate,Snapchat,Entertainment,5.8,188.0,2.0,2.0,,High,6.0
18.0,Male,,High School,TikTok,Entertainment,4.0,131.0,3.1,2.1,6.5,High,7.0
21.0,Female,South Korea,Undergraduate,Instagram,Entertainment,3.3,110.0,4.5,1.4,,Low,7.0
19.0,Male,France,Undergraduate,Snapchat,Entertainment,4.8,162.0,1.9,2.2,6.2,Medium,5.0
20.0,Female,Spain,Undergraduate,TikTok,Entertainment,5.5,185.0,,2.3,5.8,Very High,6.0
22.0,Male,Italy,Undergraduate,LinkedIn,Education,2.8,,5.4,1.9,7.2,Medium,8.0
18.0,Female,Mexico,High School,Instagram,Entertainment,6.5,203.0,2.6,1.4,5.5,Very High,
21.0,Male,Russia,Undergraduate,YouTube,Education,3.7,142.0,6.5,1.2,6.8,High,7.0
20.0,Female,China,Undergraduate,TikTok,Entertainment,4.2,162.0,3.3,1.3,6.0,,6.0
24.0,Male,Sweden,Graduate,LinkedIn,Education,2.0,112.0,7.1,3.0,7.8,Low,8.0
19.0,Female,Norway,Undergraduate,Instagram,Entertainment,5.0,,3.2,1.5,5.7,High,5.0
21.0,Male,Denmark,Undergraduate,Facebook,Networking,3.5,127.0,4.4,1.6,6.7,Medium,7.0
20.0,Female,Netherlands,Undergraduate,Snapchat,Entertainment,4.7,176.0,3.6,1.9,5.9,High,6.0
18.0,Male,Belgium,,TikTok,Entertainment,5.3,184.0,2.7,1.4,5.5,Very High,5.0
23.0,Female,Switzerland,Graduate,LinkedIn,Education,2.5,97.0,5.6,2.1,7.3,Medium,8.0
19.0,Male,Austria,Undergraduate,Instagram,Entertainment,4.9,174.0,2.8,2.1,5.8,Very High,
20.0,Female,Portugal,Undergraduate,TikTok,Entertainment,5.7,173.0,1.2,1.0,5.4,High,5.0
22.0,Male,Greece,Undergraduate,Facebook,Networking,3.2,122.0,3.6,1.7,6.9,Low,7.0
19.0,Female,Ireland,Undergraduate,Instagram,Entertainment,6.1,189.0,2.4,,5.2,Very High,5.0
21.0,Male,New Zealand,Undergraduate,YouTube,Education,3.8,159.0,4.0,,6.6,Medium,7.0
20.0,Female,Singapore,Undergraduate,TikTok,Entertainment,4.4,136.0,3.1,2.5,5.9,High,6.0
24.0,Male,Malaysia,Graduate,LinkedIn,Education,,114.0,5.8,2.1,7.4,Low,8.0
19.0,Female,Thailand,Undergraduate,Instagram,Entertainment,5.9,183.0,2.7,2.0,5.3,Very High,5.0
21.0,Male,Vietnam,Undergraduate,Facebook,Networking,3.6,116.0,4.5,1.7,6.7,Medium,7.0
20.0,Female,Philippines,Undergraduate,Snapchat,Entertainment,4.8,171.0,2.7,2.7,5.7,High,6.0
18.0,Male,Indonesia,High School,TikTok,Entertainment,5.4,187.0,3.6,1.1,,Very High,5.0
23.0,Female,Taiwan,Graduate,LinkedIn,Education,2.6,95.0,6.7,3.0,7.2,Medium,8.0
19.0,Male,Hong Kong,Undergraduate,Instagram,Entertainment,4.7,143.0,3.7,1.5,5.8,High,6.0
20.0,Female,Turkey,Undergraduate,TikTok,Entertainment,5.6,169.0,3.2,2.6,5.5,High,5.0
22.0,Male,Israel,Undergraduate,Facebook,Networking,3.1,118.0,5.9,2.5,6.8,,7.0
19.0,Female,UAE,Undergraduate,Instagram,Entertainment,6.2,185.0,2.7,0.9,5.1,Very High,5.0
21.0,,Egypt,Undergraduate,YouTube,Education,3.9,150.0,4.6,,6.5,Medium,7.0
20.0,Female,Morocco,Undergraduate,TikTok,Entertainment,,140.0,4.0,2.3,5.8,High,6.0
24.0,Male,South Africa,Graduate,LinkedIn,Education,2.3,113.0,6.1,,7.3,Medium,8.0
19.0,Female,Nigeria,Undergraduate,Instagram,Entertainment,5.8,204.0,1.3,,5.4,Very High,5.0
21.0,Male,Kenya,Undergraduate,Facebook,,3.7,145.0,4.9,2.1,6.6,High,7.0
20.0,Female,Ghana,Undergraduate,Snapchat,Entertainment,,177.0,2.3,2.2,5.7,High,6.0
18.0,Male,Argentina,High School,TikTok,Entertainment,5.5,199.0,1.9,1.7,5.3,High,5.0
23.0,Female,Chile,Graduate,LinkedIn,Education,2.7,93.0,6.3,1.7,7.1,Medium,8.0
19.0,Male,Colombia,,Instagram,Entertainment,4.8,158.0,3.9,1.4,5.9,,6.0
20.0,Female,Peru,Undergraduate,TikTok,Entertainment,5.5,192.0,3.7,1.7,5.6,High,5.0
22.0,Male,Venezuela,Undergraduate,Facebook,Networking,3.3,120.0,4.5,2.8,6.7,Medium,7.0
,Female,Ecuador,Undergraduate,Instagram,Entertainment,6.3,,1.0,2.2,5.2,Very High,5.0
21.0,Male,Uruguay,Undergraduate,YouTube,Education,3.8,150.0,4.0,2.4,6.4,High,7.0
20.0,Female,Paraguay,,TikTok,Entertainment,4.7,181.0,3.4,2.0,5.8,,
24.0,Male,Bolivia,,LinkedIn,Education,2.4,98.0,5.7,2.8,7.2,Low,8.0
19.0,Female,Costa Rica,Undergraduate,Instagram,Entertainment,5.7,180.0,3.2,1.2,5.5,Very High,5.0
21.0,Male,Panama,Undergraduate,Facebook,Networking,3.6,115.0,4.1,2.0,6.5,Very High,7.0
20.0,Female,Jamaica,Undergraduate,Snapchat,Entertainment,4.9,158.0,3.4,1.4,5.6,,6.0
18.0,Male,Trinidad,High School,TikTok,Entertainment,5.6,176.0,1.6,1.0,5.2,Very High,5.0
23.0,Female,Bahamas,Graduate,LinkedIn,,2.8,113.0,,2.5,7.0,Low,8.0
19.0,Male,Iceland,Undergraduate,Instagram,Entertainment,4.6,156.0,3.4,1.9,5.9,High,6.0
20.0,Female,Finland,Undergraduate,TikTok,Entertainment,5.4,194.0,2.0,2.0,5.7,High,5.0
22.0,Male,Poland,Undergraduate,Facebook,Networking,3.1,132.0,4.7,2.5,7.1,Medium,7.0
19.0,Female,Romania,Undergraduate,Instagram,Entertainment,5.6,194.0,2.3,1.7,5.6,High,5.0
20.0,Male,Hungary,Undergraduate,TikTok,Entertainment,,130.0,3.6,2.2,6.0,High,6.0
18.0,Female,Czech Republic,High School,Snapchat,Entertainment,,195.0,3.3,1.5,5.2,Very High,4.0
23.0,Male,Slovakia,Graduate,LinkedIn,Education,2.3,,5.6,2.6,7.4,,8.0
21.0,Female,Croatia,Undergraduate,Instagram,Entertainment,4.8,154.0,3.0,1.4,5.8,Medium,6.0
20.0,Male,Serbia,Undergraduate,YouTube,Education,3.9,138.0,2.4,2.2,6.5,High,7.0
19.0,Female,Slovenia,Undergraduate,TikTok,Entertainment,5.7,196.0,1.6,1.9,5.4,High,5.0
22.0,Male,Bulgaria,Undergraduate,LinkedIn,Education,2.8,,5.0,2.0,7.2,Low,8.0
20.0,Female,Estonia,Undergraduate,Instagram,,4.5,171.0,3.0,1.9,5.9,High,6.0
18.0,Male,Latvia,High School,Snapchat,Entertainment,5.4,177.0,3.7,1.3,5.5,,5.0
21.0,Female,Lithuania,Undergraduate,Facebook,Networking,3.2,120.0,4.7,1.9,6.8,Low,7.0
19.0,Male,Ukraine,Undergraduate,TikTok,Entertainment,4.9,162.0,4.1,1.2,5.7,High,6.0
20.0,Female,Moldova,Undergraduate,Instagram,Entertainment,5.8,196.0,2.2,2.2,5.3,,5.0
23.0,Male,Belarus,Graduate,LinkedIn,Education,,103.0,5.5,2.9,7.3,Medium,8.0
21.0,Female,Kazakhstan,Undergraduate,Snapchat,Entertainment,4.6,156.0,3.3,2.1,5.8,High,6.0
19.0,Male,Uzbekistan,Undergraduate,TikTok,Entertainment,5.5,168.0,2.5,2.6,5.4,High,5.0
22.0,Female,Kyrgyzstan,Undergraduate,Facebook,Networking,2.9,116.0,6.5,2.2,7.0,Medium,7.0
20.0,Male,Tajikistan,Undergraduate,YouTube,Education,4.7,151.0,1.4,3.3,5.9,High,6.0
18.0,Female,Armenia,High School,Instagram,Entertainment,5.9,192.0,1.0,1.4,5.2,Very High,5.0
21.0,Male,Georgia,Undergraduate,LinkedIn,Education,3.0,135.0,4.6,2.4,7.1,Low,8.0
19.0,Female,Azerbaijan,Undergraduate,TikTok,Entertainment,4.8,176.0,3.2,1.6,5.7,,6.0
20.0,Male,Cyprus,Undergraduate,,Networking,3.8,139.0,4.8,2.2,6.6,High,7.0
22.0,Female,Malta,Undergraduate,LinkedIn,Education,2.7,131.0,5.7,2.7,7.2,Medium,8.0
